X,Variedad,Tratat_quim_semilla,Labranza,Dehierbe,Escarda,Arreglo,Barbecho,Rastreo,Nivelacion,Trazos,Reformacion_surcos,Preparacion_suelo,Fertilizacion_quimica_suelo,Fertilizacion_quimica_foliar,Biofertilizantes,Mejoradores,Control_quimico_malezas,N,P,K,TM_Avg,TX_Avg,SD_Acu,P_Acu,D_Range,TX_34_Frec,TM_15_Frec,P_10_Frec,Rendimiento,latitud_n,longitud_w,fecha_de_siembra,Drenaje_in,Arena_prc,Arcilla_pr,Limo_prc,CE,PH,MO,CIC,SB_prc,Sloperast
282,P2844,1,Ag conservacion,0,1,0,0,0,0,0,1,0,2,0,0,0,1,240.5,46,0,7.993134694,25.57744565,53560.39142,12,17.58431096,0,1,1,10,282,282,10/15/2017,3,17,51,14,38,7.985063339,0.640335775,40.33563416,86.61642857,0.04195741
283,P2844,1,Ag conservacion,0,1,0,0,0,0,0,1,0,2,0,0,0,1,217.5,46,0,14.4747191,28.71067416,90158.75027,430,14.23595506,0.02247191,0.387640449,0.898876404,10,283,283,5/15/2017,3,17,51,14,38,7.985063339,0.640335775,40.33563416,86.61642857,0.04195741
284,CIMARRON,0,Convencional,0,0,0,1,2,1,1,0,0,3,1,0,0,1,262.25,69,0,13.84170854,28.45979899,98696.49757,448,14.61809045,0.015075377,0.452261307,0.899497487,9,284,284,5/15/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.339270806
285,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,2,1,0,2,444.5,130,60,13.49481865,28.24611399,99309.24258,488,14.75129534,0,0.849740933,0.901554404,16,285,285,4/11/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.385230011
286,CIMARRON,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,3,1,0,1,430.25,53.36,91.44,12.7044335,27.52955665,100508.6284,456,14.82512315,0,0.857142857,0.901477833,15.6,286,286,5/15/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.365499777
287,P3055W,0,Convencional,0,0,0,1,2,2,1,0,0,3,1,0,0,1,265.2294,42.16,56.12,13.52808989,28.16853933,91162.43798,469,14.64044944,0,0.893258427,0.887640449,12,287,287,4/18/2017,3,35,48,46,1,6.322857143,0.31,19.31142857,77.62714286,0.271060618
288,CIMARRON,0,Ag conservacion,0,1,0,0,0,0,0,1,0,2,1,0,0,2,217.7,46.3,0.1,14.16975309,28.06790123,80131.54437,440,13.89814815,0,0.438271605,0.882716049,10,288,288,6/8/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,3.56E-15
289,CIMARRON,1,Ag conservacion,0,1,0,0,0,0,0,1,0,3,1,0,0,2,359.95,90.3,45.1,14.35344828,28.40229885,85720.94917,465,14.04885057,0.005747126,0.390804598,0.885057471,10,289,289,5/25/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.035184319
290,P3015W,0,Ag conservacion,0,1,0,0,0,0,0,1,0,2,1,0,0,2,229,69,30,14.31693989,28.57103825,90290.90496,439,14.25409836,0.016393443,0.393442623,0.890710383,9,290,290,5/20/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.036448178
291,P3015W,0,Ag conservacion,0,1,0,0,0,0,0,1,0,2,1,0,0,2,239.55,69.45,0.15,14.29829545,28.40625,88156.01882,430,14.10795455,0.011363636,0.414772727,0.892045455,9,291,291,5/24/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.177422411
292,CIMARRON,0,Convencional,0,1,0,1,2,1,1,0,0,2,1,0,0,1,229.2,115.3,0.1,13.92528736,28.12931034,86601.16125,413,14.20402299,0,0.471264368,0.908045977,10,292,292,6/2/2017,3,17,51,14,38,7.985063339,0.640335775,40.33563416,86.61642857,0.059768711
